city,longitude,latitude,coordinates
Ypacarai|Ita,-57.28869099061532,-25.401786386035283,"[-57.28869099061532, -25.401786386035283]"
Nueva Imperial,-72.94940477848971,-38.74464270458181,"[-72.94940477848971, -38.74464270458181]"
Quirihue,-72.54226245530626,-36.28035693501713,"[-72.54226245530626, -36.28035693501713]"
Singleton,151.17440505494608,-32.569641783824125,"[151.17440505494608, -32.569641783824125]"
Boaco,-85.6513901667465,12.473608955036575,"[-85.6513901667465, 12.473608955036575]"
Chosan,125.80625210318954,40.82916437540264,"[125.80625210318954, 40.82916437540264]"
Motupe,-79.71388957068044,-6.161110342830068,"[-79.71388957068044, -6.161110342830068]"
Si Racha,100.93333357116933,13.162501241034509,"[100.93333357116933, 13.162501241034509]"
Stawell,142.767707878526,-37.05625051072127,"[142.767707878526, -37.05625051072127]"
Tom Price,117.79027828912642,-22.68888846797352,"[117.79027828912642, -22.68888846797352]"
Ambanja,48.452779442945626,-13.666664533077899,"[48.452779442945626, -13.666664533077899]"
El Maiten,-71.16979203679503,-42.04270502605724,"[-71.16979203679503, -42.04270502605724]"
Loncoche,-72.63541537184896,-39.36562417988229,"[-72.63541537184896, -39.36562417988229]"
Anbyon,127.52202360405623,39.04463944274796,"[127.52202360405623, 39.04463944274796]"
Colac,143.58958294041554,-38.34791523541516,"[143.58958294041554, -38.34791523541516]"
Dillon,-112.63194515989028,45.21712941711237,"[-112.63194515989028, 45.21712941711237]"
Maqat,53.334377185195635,47.647918721776605,"[53.334377185195635, 47.647918721776605]"
Selfoss,-20.999038864278198,63.935576743891374,"[-20.999038864278198, 63.935576743891374]"
Severnyy,64.0958318373098,67.59999914049732,"[64.0958318373098, 67.59999914049732]"
Leeton,146.3968740911085,-34.55520833459133,"[146.3968740911085, -34.55520833459133]"
Acatlan,-98.05059572010833,18.20178481034721,"[-98.05059572010833, 18.20178481034721]"
Camiri,-63.521875047268615,-20.038540622127,"[-63.521875047268615, -20.038540622127]"
Forbes,148.00833228872656,-33.37916609863606,"[148.00833228872656, -33.37916609863606]"
Katima Mulilo,24.27921734271891,-17.50483159097282,"[24.27921734271891, -17.50483159097282]"
Polson,-114.15719779879394,47.68674162091468,"[-114.15719779879394, 47.68674162091468]"
Portachuelo,-63.395832559575744,-17.3541660184887,"[-63.395832559575744, -17.3541660184887]"
Reggane,0.16979123422407472,26.719791602132766,"[0.16979123422407472, 26.719791602132766]"
San Antonio de los Banos,-82.50178561017539,22.89226224025856,"[-82.50178561017539, 22.89226224025856]"
Tidjikdja,-11.430208053206663,18.553123547987905,"[-11.430208053206663, 18.553123547987905]"
Ubaitaba,-39.32083244828266,-14.314880387127548,"[-39.32083244828266, -14.314880387127548]"
Uyuni,-66.82187480229642,-20.461458275128205,"[-66.82187480229642, -20.461458275128205]"
Vegreville,-112.0511377969944,53.49658964910405,"[-112.0511377969944, 53.49658964910405]"
Chepes,-66.58958305453383,-31.340624921833918,"[-66.58958305453383, -31.340624921833918]"
El Daba,28.445834082224113,31.025000038113983,"[28.445834082224113, 31.025000038113983]"
San Juan Bautista,-57.14374990722419,-26.66874994430972,"[-57.14374990722419, -26.66874994430972]"
Ulladulla,150.4699070292563,-35.35694408551294,"[150.4699070292563, -35.35694408551294]"
Villa Hayes,-57.5249998932607,-25.09583344440501,"[-57.5249998932607, -25.09583344440501]"
Itapecuru Mirim,-44.35416826685393,-3.394642390812994,"[-44.35416826685393, -3.394642390812994]"
