City,longitude,latitude,coordinates,Unnamed: 0,mean_ndvi,mean_surface_water,mean_uhi_DayNight,mean_uhi_daytime,mean_uhi_Nighttime,Continent,Class,Skewness,Dip_Statistic,Mean_Height
Lausanne,6.59836364098367,46.53357502319605,"[6.59836364098367, 46.53357502319605]",501.0,5138.05916991996,2.98850574712644,0.230962780951122,0.153821448165485,0.0771413327856369,EUROPE,Pyramid,1.684618507,0.999722023,1.799372787
Iligan,124.23465383391716,8.199804186989736,"[124.23465383391715, 8.199804186989736]",378.0,6860.58830815991,2.87616387337058,,,,ASIA,Pyramid,4.102856878,0.545737634,0.510983048
Charlottesville,-78.49043329449194,38.0408709903925,"[-78.49043329449194, 38.0408709903925]",467.0,6135.02861232356,1.98709677419355,2.35414594559209,1.89220910490333,0.461936840688753,NORTH AMERICA,Pyramid,3.655155868,0.994393247,0.986729615
Jackson2,-88.82961831723493,35.65716726215194,"[-88.82961831723493, 35.65716726215194]",479.0,5438.19652116391,1.85142857142857,1.74251559371113,1.54875986188983,0.193755731821307,NORTH AMERICA,Pyramid,2.013072436,0.994688666,0.904643627
Tapachula,-92.2692782721569,14.900593161662114,"[-92.2692782721569, 14.900593161662114]",411.0,6450.86257074865,1.33333333333333,1.575711706695,1.32009737143468,0.255614335260316,NORTH AMERICA,Hourglass,0.885492738,0.0,1.519304931
Da Lat,108.4424076325622,11.963239590622232,"[108.4424076325622, 11.963239590622232]",126.0,5224.30045061503,1.92783505154639,1.47746105996684,1.42445493035523,0.0530061296116177,ASIA,Pyramid,1.485675606,1.0,1.240345697
Balikesir,27.907924224159803,39.64412812058658,"[27.907924224159803, 39.64412812058658]",435.0,4153.47334360555,1.75,,,,ASIA,Pyramid,1.532134301,0.374108103,0.999196798
Cherepovets,37.89909912335998,59.143222098421234,"[37.89909912335998, 59.143222098421234]",487.0,2984.68355904257,2.38245033112583,5.12428061471822,3.69461080975257,1.42966980496565,EUROPE,Hourglass,2.311392264,0.0,3.094659281
Novi Sad,19.80972105364904,45.25444093420488,"[19.809721053649042, 45.25444093420488]",181.0,4518.39585105782,2.33142857142857,1.21502755941408,0.544474449718349,0.670553109695728,EUROPE,Pyramid,1.751893695,0.635888591,1.7242361
Cherkasy,32.06722896492857,49.41618411340877,"[32.06722896492857, 49.41618411340877]",488.0,2142.08125259281,2.93832293832294,1.64275893377438,0.963580916217568,0.679178017556809,EUROPE,Pyramid,1.426768863,0.007006732,1.641622842
Biysk,85.17934743399375,52.5295203292378,"[85.17934743399375, 52.5295203292378]",92.0,3400.80038328549,2.39690721649485,1.47720622118187,1.18481128400658,0.292394937175289,ASIA,Hourglass,2.184812823,0.0,1.574506724
Lianxian,112.34401596533831,24.76163273214205,"[112.34401596533831, 24.76163273214205]",548.0,5585.24089306698,1.90079365079365,2.58198353717601,1.1986104524839,1.38337308469211,ASIA,Pyramid,3.074331418,0.484391597,0.765131937
Karlstad,13.496614664325705,59.37782126774099,"[13.496614664325705, 59.37782126774099]",89.0,4091.12660383816,2.64279766860949,1.04328667000882,0.873381355011523,0.169905314997292,EUROPE,Pyramid,4.411979757,0.367653442,0.5871636
Monclova,-101.42924925784382,26.910912171412413,"[-101.42924925784382, 26.910912171412413]",446.0,2572.31595591577,2.04347826086957,0.867916293389322,-0.0620692437463771,0.929985537135699,NORTH AMERICA,Hourglass,2.104466952,0.0,1.990468125
Reims,4.031151482679035,49.2472459819153,"[4.031151482679035, 49.2472459819153]",249.0,4377.15842880924,1.18965517241379,1.23221897583488,0.758510584310558,0.473708391524325,EUROPE,Pyramid,1.322214977,0.236502881,1.881278963
Timbauba,-35.304722886770435,-7.491017071252189,"[-35.304722886770435, -7.491017071252189]",526.0,5476.68982251591,1.41747572815534,,,,SOUTH AMERICA,Pyramid,5.593302544,1.0,0.125737185
Camaguey,-77.91381735079672,21.388289006506547,"[-77.91381735079672, 21.388289006506547]",333.0,5756.50691406822,1.66233766233766,,,,NORTH AMERICA,Hourglass,1.055771428,0.0,1.033398456
Barrie,-79.6838683312085,44.37397645099737,"[-79.6838683312085, 44.37397645099737]",512.0,3475.90368410918,2.53242320819113,0.613190778601029,1.06881270852501,-0.45562192992398,NORTH AMERICA,Hourglass,1.75046707,0.0,1.308982594
Timisoara,21.22988382344759,45.74423923366274,"[21.22988382344759, 45.74423923366274]",532.0,4464.70571602311,1.3265306122449,2.63272106808647,1.58314707327988,1.0495739948066,EUROPE,Hourglass,1.544389544,0.000722866,1.467197848
Lawton,-98.42685570114706,34.620057557705294,"[-98.42685570114706, 34.620057557705294]",506.0,3890.43010033445,1.76086956521739,1.81619474417924,1.27394266143955,0.542252082739691,NORTH AMERICA,Hourglass,0.742427101,0.0,1.035499139
Aalborg,9.933414136627931,57.03614203370488,"[9.933414136627931, 57.036142033704884]",1.0,4679.28268930704,2.67223382045929,1.1613716351086,0.759177536917371,0.402194098191224,EUROPE,Pyramid,2.274388317,0.282151279,1.109459467
Aberdeen3,-2.1351746271005068,57.15465620055603,"[-2.1351746271005068, 57.15465620055603]",17.0,4954.27891423454,2.47883597883598,1.06930103746324,0.67856007441468,0.390740963048558,EUROPE,Pyramid,1.607938723,0.004276111,1.412772257
Ninde,119.55425001334008,26.687241097618333,"[119.55425001334007, 26.687241097618333]",128.0,4296.27637629884,2.22570850202429,0.75555696081033,0.765442545468037,-0.0098855846577073,ASIA,Pyramid,2.050276455,0.462915873,1.378965365
Zhaodong,125.98394093508064,46.07823790310986,"[125.98394093508064, 46.07823790310986]",573.0,2930.34699050355,1.73559322033898,3.12733191758394,0.989487777531147,2.1378441400528,ASIA,Pyramid,1.956701339,0.960506643,1.658227325
Luton,-0.4474765745369961,51.8891397618229,"[-0.4474765745369961, 51.8891397618229]",90.0,5662.98041148707,2.22105263157895,1.01769072448916,0.784598976136797,0.233091748352359,EUROPE,Hourglass,1.072890687,0.0,1.423143924
Castello,-0.1223518664033955,39.96574777922337,"[-0.12235186640339558, 39.96574777922337]",402.0,4555.83147543653,2.34234234234234,1.48307928301778,1.14864664779059,0.334432635227189,EUROPE,Pyramid,1.329718852,0.997073174,2.198476999
Pereira,-75.69611222079894,4.8194440137434285,"[-75.69611222079894, 4.8194440137434285]",480.0,6042.82258960846,1.0,2.46938682360006,2.18576275485579,0.283624068744262,SOUTH AMERICA,Pyramid,1.379844395,0.444814388,1.895921105
Vinnytsya,28.484031187466343,49.2339113242821,"[28.484031187466346, 49.2339113242821]",278.0,4038.71630395548,2.51794871794872,2.53954918909086,1.69646297986167,0.843086209229182,EUROPE,Hourglass,1.074679212,3.49e-05,2.06926415
Buxoro,64.42120921462293,39.77344435585969,"[64.42120921462293, 39.77344435585969]",274.0,2382.19846174267,1.25876010781671,2.69607725410267,1.29425007866494,1.40182717543773,ASIA,Hourglass,0.185303758,0.0,2.05774077
Amol,52.35349712002608,36.47365472109069,"[52.35349712002608, 36.47365472109069]",188.0,0.0,1.17171717171717,2.76186011742581,2.30449282660841,0.4573672908174,ASIA,Hourglass,0.867625835,0.0,1.169419469
Obihiro,143.18187399541577,42.91906886088797,"[143.18187399541577, 42.91906886088797]",228.0,3613.28891572732,1.69140625,2.42488843120486,2.37094737871393,0.0539410524909292,ASIA,Hourglass,0.661350898,0.0,2.613493432
